Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.788,0.785,0.787,0.784,DecisionTreeClassifier(random_state=27033074),478,RobustScaler(),,0,True
0.786,0.783,0.786,0.78,DecisionTreeClassifier(random_state=27033074),478,PowerTransformer(),,0,True
0.786,0.784,0.785,0.784,DecisionTreeClassifier(random_state=27033074),478,QuantileTransformer(random_state=27033074),,0,True
0.787,0.785,0.785,0.784,DecisionTreeClassifier(random_state=27033074),478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.657,0.625,0.68,0.579,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,,,0,True
0.663,0.601,0.727,0.512,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,StandardScaler(),,0,True
0.665,0.599,0.735,0.505,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,MinMaxScaler(),,0,True
0.665,0.599,0.735,0.505,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,MaxAbsScaler(),,0,True
0.662,0.599,0.724,0.511,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,RobustScaler(),,0,True
0.85,0.842,0.878,0.808,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,PowerTransformer(),,0,True
0.851,0.846,0.867,0.825,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,QuantileTransformer(random_state=27033074),,0,True
0.824,0.823,0.822,0.823,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
