"Accuracy","F1-Score","Precision","Recall","Model","Num_Features","Preprocessing","Fea_Selection","Dim_Reduction","Var_Threshold"
0.741,0.728,0.758,0.701,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"RobustScaler()",,0,"False"
0.816,0.815,0.813,0.816,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.824,0.836,0.776,0.906,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.775,0.733,0.888,0.624,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.622,0.53,0.689,0.431,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"normalize",,0,"False"
0.791,0.788,0.79,0.786,"DecisionTreeClassifier(random_state=27033074)",478,,,0,"False"
0.79,0.788,0.789,0.786,"DecisionTreeClassifier(random_state=27033074)",478,"StandardScaler()",,0,"False"
0.793,0.79,0.793,0.786,"DecisionTreeClassifier(random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.793,0.79,0.793,0.787,"DecisionTreeClassifier(random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.791,0.788,0.79,0.786,"DecisionTreeClassifier(random_state=27033074)",478,"RobustScaler()",,0,"False"
0.788,0.786,0.787,0.785,"DecisionTreeClassifier(random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.786,0.784,0.783,0.784,"DecisionTreeClassifier(random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.791,0.789,0.79,0.787,"DecisionTreeClassifier(random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.662,0.702,0.624,0.803,"DecisionTreeClassifier(random_state=27033074)",478,"normalize",,0,"False"
0.634,0.628,0.632,0.624,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,,,0,"False"
0.666,0.621,0.71,0.553,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"StandardScaler()",,0,"False"
0.667,0.62,0.712,0.549,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"MinMaxScaler()",,0,"False"
0.667,0.62,0.712,0.549,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"MaxAbsScaler()",,0,"False"
0.665,0.617,0.709,0.547,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"RobustScaler()",,0,"False"
0.849,0.841,0.876,0.809,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"PowerTransformer()",,0,"False"
0.85,0.845,0.868,0.823,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.821,0.82,0.819,0.82,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.659,0.673,0.641,0.709,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,"normalize",,0,"False"
